timestamp,frame_id,shoulder_x,shoulder_y,elbow_x,elbow_y,hip_x,hip_y,angle_deg,rep_state,feedback_msg
0.130,0,0.3440,1.0488,0.2344,1.4802,0.4307,1.8422,20.5,down,
0.219,1,0.3501,1.0408,0.1434,1.2196,0.4273,1.8521,54.6,down,
0.287,2,0.3583,1.0388,0.1669,1.2412,0.4274,1.8815,48.1,down,
0.353,3,0.3598,1.0447,0.1749,1.2943,0.4326,1.9630,41.1,down,
0.421,4,0.3592,1.0454,0.1673,1.2590,0.4308,1.9737,46.3,down,
0.485,5,0.3593,1.0546,0.1780,1.2880,0.4306,2.0259,42.0,down,
0.553,6,0.3609,1.0638,0.2275,1.3473,0.4322,2.0414,29.4,down,
0.619,7,0.3620,1.0641,0.2268,1.3206,0.4324,2.0264,32.0,down,
0.688,8,0.3609,1.0748,0.2266,1.3696,0.4324,2.0514,28.7,down,
0.752,9,0.3607,1.0738,0.0963,1.1318,0.4273,2.0359,81.6,up,
0.819,10,0.3615,1.0741,0.1158,1.1664,0.4301,2.0445,73.4,up,
0.885,11,0.3625,1.0737,0.1796,1.2726,0.4306,2.0255,46.7,up,
0.958,12,0.3601,1.0733,0.1799,1.2751,0.4284,2.0221,45.9,up,
1.026,13,0.3603,1.0728,0.1886,1.2815,0.4282,2.0227,43.5,down,
1.092,14,0.3599,1.0699,0.1804,1.2722,0.4264,2.0207,45.6,down,
1.158,15,0.3583,1.0719,0.1545,1.2795,0.4160,2.0313,47.9,down,
1.225,16,0.3549,1.0716,0.1540,1.2808,0.4072,2.0196,47.0,down,
1.292,17,0.3361,1.0717,0.1202,1.2697,0.3887,2.0259,50.6,down,
1.359,18,0.3308,1.0717,0.0665,1.2644,0.3836,2.0244,57.1,down,
1.425,19,0.3210,1.0716,0.0307,1.2305,0.3537,2.0249,63.3,up,
1.487,20,0.3221,1.0723,0.1836,1.5063,0.3583,2.0129,19.9,down,
1.560,21,0.3234,1.0835,0.2191,1.5002,0.3624,2.0169,16.4,down,
1.619,22,0.3459,1.1621,0.2889,1.5520,0.3734,2.0953,10.0,down,
1.717,23,0.3556,1.2096,0.3095,1.5266,0.3821,2.1606,9.9,down,
