timestamp,frame_id,shoulder_x,shoulder_y,elbow_x,elbow_y,hip_x,hip_y,angle_deg,rep_state,feedback_msg
0.137,0,0.3745,0.6347,0.2068,0.9343,0.4144,1.4223,32.1,down,
0.218,1,0.3727,0.6352,0.2257,0.8770,0.4144,1.4142,34.4,down,
0.284,2,0.3711,0.6352,0.2201,0.6593,0.4135,1.4121,84.1,up,
0.349,3,0.3670,0.6407,0.2052,0.6120,0.4102,1.4122,103.3,up,
0.417,4,0.3627,0.6527,0.1764,0.5774,0.4096,1.4125,115.6,up,
0.483,5,0.3617,0.6701,0.2432,0.9810,0.4146,1.4222,24.9,down,Repetición válida
0.549,6,0.3589,0.6737,0.2619,1.0431,0.4161,1.4212,19.1,down,
0.616,7,0.3578,0.6802,0.2666,1.0803,0.4173,1.4236,17.4,down,
0.683,8,0.3580,0.6829,0.2769,1.0263,0.4234,1.4254,18.3,down,
0.753,9,0.3568,0.6823,0.2792,1.0230,0.4229,1.4229,17.9,down,
0.822,10,0.3568,0.6824,0.2718,1.0546,0.4226,1.4226,17.9,down,
0.887,11,0.3550,0.6846,0.2677,1.0614,0.4185,1.4239,18.0,down,
0.949,12,0.3548,0.6862,0.2678,1.0612,0.4187,1.4205,18.0,down,
1.016,13,0.3548,0.6845,0.2753,1.0508,0.4187,1.4164,17.2,down,
1.085,14,0.3549,0.6841,0.2735,1.0690,0.4190,1.4160,16.9,down,
1.152,15,0.3552,0.6839,0.2719,1.0637,0.4237,1.4153,17.7,down,
1.218,16,0.3553,0.6814,0.2712,1.0840,0.4189,1.4111,16.8,down,
1.289,17,0.3553,0.6809,0.2707,1.0759,0.4190,1.4111,17.1,down,
1.349,18,0.3552,0.6844,0.2704,1.0776,0.4191,1.4174,17.2,down,
1.417,19,0.3556,0.6847,0.2785,1.0739,0.4219,1.4128,16.4,down,
1.498,20,0.3556,0.6876,0.2774,1.0737,0.4209,1.4112,16.6,down,
1.561,21,0.3562,0.6877,0.2767,1.0734,0.4203,1.4029,16.8,down,
1.630,22,0.3598,0.6876,0.2763,1.0726,0.4207,1.4088,17.1,down,
1.696,23,0.3601,0.6892,0.2760,1.0705,0.4235,1.3932,17.6,down,
1.763,24,0.3599,0.6984,0.2757,1.1200,0.4235,1.4017,16.5,down,
1.830,25,0.3610,0.6986,0.2748,1.1109,0.4234,1.4049,16.9,down,
1.897,26,0.3639,0.7000,0.2759,1.0877,0.4290,1.4059,18.1,down,
1.955,27,0.3662,0.7017,0.2878,1.0885,0.4298,1.4061,16.6,down,
2.019,28,0.3651,0.7090,0.2833,1.0873,0.4291,1.4041,17.5,down,
2.096,29,0.3657,0.7140,0.2827,1.0993,0.4311,1.4013,17.6,down,
2.162,30,0.3652,0.7274,0.2823,1.1074,0.4309,1.4093,17.8,down,
2.230,31,0.3679,0.7260,0.2828,1.1008,0.4335,1.4004,18.3,down,
2.295,32,0.3706,0.7256,0.2821,1.0770,0.4339,1.3770,19.7,down,
2.363,33,0.3711,0.7285,0.2819,1.0721,0.4344,1.3727,20.2,down,
2.436,34,0.3756,0.7284,0.2832,1.0572,0.4390,1.3680,21.4,down,
2.495,35,0.3767,0.7276,0.2867,1.0581,0.4412,1.3698,21.0,down,
2.552,36,0.3786,0.7289,0.2936,1.0601,0.4411,1.3736,19.9,down,
2.617,37,0.3785,0.7341,0.2936,1.0765,0.4433,1.3970,19.5,down,
2.698,38,0.3794,0.7335,0.2988,1.0804,0.4450,1.4037,18.7,down,
2.761,39,0.3793,0.7378,0.3025,1.1068,0.4493,1.4288,17.5,down,
2.829,40,0.3803,0.7376,0.3028,1.1073,0.4494,1.4319,17.5,down,
2.901,41,0.3802,0.7379,0.3022,1.1063,0.4509,1.4295,17.8,down,
2.963,42,0.3775,0.7424,0.3019,1.1229,0.4483,1.4414,17.0,down,
3.032,43,0.3774,0.7411,0.3017,1.1210,0.4470,1.4390,17.0,down,
